#name, mChrA_Absence, mChrA_Presence
NODE_0000156, 0.9995481395423798, 0.00045186045762032147
NODE_0000157, 0.9996171292007702, 0.0003828707992298142
FJ0204804, 1.0, 0.0
NODE_0000158, 0.999657742751775, 0.0003422572482250262
HN-158, 0.9999999999999999, 0.0
SC-10-25-44-1, 0.9999999999999999, 0.0
NODE_0000159, 0.9996137061286925, 0.0003862938713073801
GD08-2025, 1.0, 0.0
NODE_0000160, 0.999623610178232, 0.0003763898217679785
FJ11YD-673-1, 1.0, 0.0
NODE_0000161, 0.9996583305561288, 0.0003416694438712211
FJ11SH-527-1, 1.0, 0.0
FJSH0703, 1.0, 0.0
NODE_0000162, 0.9458551176561202, 0.0541448823438798
NODE_0000163, 0.8535114929000248, 0.14648850709997518
Sar-2-20-1, 0.0, 1.0
NODE_0000164, 0.986406419222451, 0.013593580777549073
A-PH-38, 1.0, 0.0
E-UGA-34, 1.0, 0.0
NODE_0000165, 0.9935527449017297, 0.0064472550982702746
NODE_0000166, 0.9989027089314966, 0.0010972910685034685
NODE_0000167, 0.9995533311371902, 0.00044666886280975225
GD-05-029b, 1.0, 0.0
NODE_0000168, 0.9996519564672588, 0.0003480435327411275
CH0680, 1.0, 0.0
HN10-1604, 1.0, 0.0
NODE_0000169, 0.9994947914958223, 0.0005052085041778142
NODE_0000170, 0.9996118559738597, 0.00038814402614026925
W-GHA-7-, 1.0, 0.0
NODE_0000171, 0.9996572644866129, 0.0003427355133871595
W-BEN-12, 1.0, 0.0
W-BEN-12-, 1.0, 0.0
NODE_0000172, 0.9995601194519729, 0.0004398805480271874
NODE_0000173, 0.9995731871628066, 0.0004268128371933046
NODE_0000174, 0.999619605051239, 0.0003803949487610203
NG0054, 1.0, 0.0
NODE_0000175, 0.9996579673036567, 0.00034203269634323094
NG0135, 1.0, 0.0
NG0153, 1.0, 0.0
NODE_0000176, 0.999619605051239, 0.0003803949487610203
W-NGR-13, 1.0, 0.0
NODE_0000177, 0.9996579673036567, 0.00034203269634323094
W-NGR-58, 1.0, 0.0
W-NGR-59, 1.0, 0.0
NODE_0000178, 0.9996107353063602, 0.0003892646936397399
NG0012, 1.0, 0.0
NODE_0000179, 0.9995820893683609, 0.00041791063163909657
NODE_0000180, 0.9996545647487396, 0.0003454352512605349
CD0203, 0.9999999999999999, 0.0
E-BRD-54, 0.9999999999999999, 0.0
NODE_0000181, 0.9996170892446091, 0.00038291075539091164
KA1-3-1, 1.0, 0.0
NODE_0000182, 0.9996239445848137, 0.00037605541518623644
W-GHA-7, 1.0, 0.0
NODE_0000183, 0.9996583608857582, 0.0003416391142418022
W-TOG-5, 1.0, 0.0
W-TOG-5-, 1.0, 0.0
NODE_0000184, 0.9989104133592236, 0.001089586640776336
NODE_0000185, 0.9995936458387691, 0.000406354161230864
BF32, 1.0, 0.0
W-BKF-15-, 1.0, 0.0
NODE_0000186, 0.9994893776613589, 0.0005106223386411282
NODE_0000187, 0.9995646868579703, 0.00043531314202977086
NODE_0000188, 0.9996529863955612, 0.0003470136044387419
AV1-1-1, 1.0, 0.0
W-BEN-11, 1.0, 0.0
NODE_0000189, 0.9995774620107987, 0.0004225379892012654
NODE_0000190, 0.999654145061904, 0.0003458549380959964
BN0252, 1.0, 0.0
BN0293, 1.0, 0.0
NODE_0000191, 0.9996200276017337, 0.00037997239826621576
WD-3-1-1, 1.0, 0.0
NODE_0000192, 0.9996580056276629, 0.0003419943723370126
NG0104, 0.9999999999999999, 0.0
NG0110, 0.9999999999999999, 0.0
NODE_0000193, 0.9995566639997425, 0.00044333600025750345
NODE_0000194, 0.9996179718070298, 0.0003820281929702918
